,source,text
993,Western (11),"A U.S. official said the activity we are seeing suggests some potential chemical weapon preparation. The news prompted emergency communications over the weekend among the Western allies, who have been developing a plan to seize Syria's chemical weapons, if necessary."
994,contain (31),"According to the scientists that testified at the February 17 Joint Finance Committee hearing on AB426, the iron mined at Lake Wazee was a high-grade concentrated ore that did not contain the sulfides or 70 % silica like the Gogebic range does."
995,high-grade (25),"According to the scientists that testified at the February 17 Joint Finance Committee hearing on AB426, the iron mined at Lake Wazee was a high-grade concentrated ore that did not contain the sulfides or 70 % silica like the Gogebic range does."
996,does (42),"According to the scientists that testified at the February 17 Joint Finance Committee hearing on AB426, the iron mined at Lake Wazee was a high-grade concentrated ore that did not contain the sulfides or 70 % silica like the Gogebic range does."
997,hearing (13),"According to the scientists that testified at the February 17 Joint Finance Committee hearing on AB426, the iron mined at Lake Wazee was a high-grade concentrated ore that did not contain the sulfides or 70 % silica like the Gogebic range does."
998,last (53),"A Welfare State in Need, is a Welfare State Indeed There is no such thing as a natural disaster, is the thought-provoking title of a book about Hurricane Katrina, but the point could apply to many recent tragedies, including the massive earthquake and tsunami that struck Japan last week."
999,many (40),"A Welfare State in Need, is a Welfare State Indeed There is no such thing as a natural disaster, is the thought-provoking title of a book about Hurricane Katrina, but the point could apply to many recent tragedies, including the massive earthquake and tsunami that struck Japan last week."
1000,thought-provoking (25),"A Welfare State in Need, is a Welfare State Indeed There is no such thing as a natural disaster, is the thought-provoking title of a book about Hurricane Katrina, but the point could apply to many recent tragedies, including the massive earthquake and tsunami that struck Japan last week."
1001,apply (38),"A Welfare State in Need, is a Welfare State Indeed There is no such thing as a natural disaster, is the thought-provoking title of a book about Hurricane Katrina, but the point could apply to many recent tragedies, including the massive earthquake and tsunami that struck Japan last week."
1002,such (15),"A Welfare State in Need, is a Welfare State Indeed There is no such thing as a natural disaster, is the thought-provoking title of a book about Hurricane Katrina, but the point could apply to many recent tragedies, including the massive earthquake and tsunami that struck Japan last week."
1003,is (13),"A Welfare State in Need, is a Welfare State Indeed There is no such thing as a natural disaster, is the thought-provoking title of a book about Hurricane Katrina, but the point could apply to many recent tragedies, including the massive earthquake and tsunami that struck Japan last week."
1004,tragedies (42),"A Welfare State in Need, is a Welfare State Indeed There is no such thing as a natural disaster, is the thought-provoking title of a book about Hurricane Katrina, but the point could apply to many recent tragedies, including the massive earthquake and tsunami that struck Japan last week."
1005,massive (46),"A Welfare State in Need, is a Welfare State Indeed There is no such thing as a natural disaster, is the thought-provoking title of a book about Hurricane Katrina, but the point could apply to many recent tragedies, including the massive earthquake and tsunami that struck Japan last week."
1006,natural (19),"A Welfare State in Need, is a Welfare State Indeed There is no such thing as a natural disaster, is the thought-provoking title of a book about Hurricane Katrina, but the point could apply to many recent tragedies, including the massive earthquake and tsunami that struck Japan last week."
1007,title (26),"A Welfare State in Need, is a Welfare State Indeed There is no such thing as a natural disaster, is the thought-provoking title of a book about Hurricane Katrina, but the point could apply to many recent tragedies, including the massive earthquake and tsunami that struck Japan last week."
1009,State (9),"A Welfare State in Need, is a Welfare State Indeed There is no such thing as a natural disaster, is the thought-provoking title of a book about Hurricane Katrina, but the point could apply to many recent tragedies, including the massive earthquake and tsunami that struck Japan last week."
1011,struck (51),"A Welfare State in Need, is a Welfare State Indeed There is no such thing as a natural disaster, is the thought-provoking title of a book about Hurricane Katrina, but the point could apply to many recent tragedies, including the massive earthquake and tsunami that struck Japan last week."
1012,very (12),A man puts his own key in his own lock for the very first time.
1013,key (5),A man puts his own key in his own lock for the very first time.
1014,puts (2),A man puts his own key in his own lock for the very first time.
1015,own (8),A man puts his own key in his own lock for the very first time.
1017,own (4),A man puts his own key in his own lock for the very first time.
1019,part (19),"According to an October 28, 1990 piece in the Pittsburgh Press, the afternoon newspaper that eventually became part of the Post Gazette, he described himself as a progressive conservative in his campaign manual."
1020,described (24),"According to an October 28, 1990 piece in the Pittsburgh Press, the afternoon newspaper that eventually became part of the Post Gazette, he described himself as a progressive conservative in his campaign manual."
1022,piece (7),"According to an October 28, 1990 piece in the Pittsburgh Press, the afternoon newspaper that eventually became part of the Post Gazette, he described himself as a progressive conservative in his campaign manual."
1024,picks (11),ALEC advertises in pre-conference brochures sent to its members that it picks up the tab for legislators attending its conferences.
1025,brochures (4),ALEC advertises in pre-conference brochures sent to its members that it picks up the tab for legislators attending its conferences.
1026,attending (17),ALEC advertises in pre-conference brochures sent to its members that it picks up the tab for legislators attending its conferences.
1028,advertises (1),ALEC advertises in pre-conference brochures sent to its members that it picks up the tab for legislators attending its conferences.
1029,sent (5),ALEC advertises in pre-conference brochures sent to its members that it picks up the tab for legislators attending its conferences.
1030,members (24),"Above the boots he was wearing the uniform of a staff sergeant in the USMC Reserve Military Police and was accompanied by all 26 members of his unit, also in uniform."
1031,wearing (5),"Above the boots he was wearing the uniform of a staff sergeant in the USMC Reserve Military Police and was accompanied by all 26 members of his unit, also in uniform."
1032,uniform (7),"Above the boots he was wearing the uniform of a staff sergeant in the USMC Reserve Military Police and was accompanied by all 26 members of his unit, also in uniform."
1033,sergeant (11),"Above the boots he was wearing the uniform of a staff sergeant in the USMC Reserve Military Police and was accompanied by all 26 members of his unit, also in uniform."
1034,Police (17),"Above the boots he was wearing the uniform of a staff sergeant in the USMC Reserve Military Police and was accompanied by all 26 members of his unit, also in uniform."
1035,taken (5),"Adapting to climate change has taken a distant back seat, even as it has become increasingly clear that the world is already committed to some pretty dramatic changes."
1036,distant (7),"Adapting to climate change has taken a distant back seat, even as it has become increasingly clear that the world is already committed to some pretty dramatic changes."
1037,seat (9),"Adapting to climate change has taken a distant back seat, even as it has become increasingly clear that the world is already committed to some pretty dramatic changes."
1038,dramatic (27),"Adapting to climate change has taken a distant back seat, even as it has become increasingly clear that the world is already committed to some pretty dramatic changes."
1039,record-breaking (24),"A week ago, another rebel leader, Joseph Kony, hit the headlines as the Kony 2012 video spread around the Internet at record-breaking pace."
1040,hit (11),"A week ago, another rebel leader, Joseph Kony, hit the headlines as the Kony 2012 video spread around the Internet at record-breaking pace."
1042,video (18),"A week ago, another rebel leader, Joseph Kony, hit the headlines as the Kony 2012 video spread around the Internet at record-breaking pace."
1043,are (11),"A couple of people have written to me wondering why I posted the RGGI job. It isn't really a law or a policy position, they say: really more like a glorified administrative assistant. I don't read it that way, but there are two ways to respond to the complaint, with the second one providing some important advice for public interest-minded environmental lawyers in today's job market."
1044,read (4),"A couple of people have written to me wondering why I posted the RGGI job. It isn't really a law or a policy position, they say: really more like a glorified administrative assistant. I don't read it that way, but there are two ways to respond to the complaint, with the second one providing some important advice for public interest-minded environmental lawyers in today's job market."
1045,lawyers (32),"A couple of people have written to me wondering why I posted the RGGI job. It isn't really a law or a policy position, they say: really more like a glorified administrative assistant. I don't read it that way, but there are two ways to respond to the complaint, with the second one providing some important advice for public interest-minded environmental lawyers in today's job market."
1049,isn't (1),"A couple of people have written to me wondering why I posted the RGGI job. It isn't really a law or a policy position, they say: really more like a glorified administrative assistant. I don't read it that way, but there are two ways to respond to the complaint, with the second one providing some important advice for public interest-minded environmental lawyers in today's job market."
1050,couple (1),"A couple of people have written to me wondering why I posted the RGGI job. It isn't really a law or a policy position, they say: really more like a glorified administrative assistant. I don't read it that way, but there are two ways to respond to the complaint, with the second one providing some important advice for public interest-minded environmental lawyers in today's job market."
1051,second (22),"A couple of people have written to me wondering why I posted the RGGI job. It isn't really a law or a policy position, they say: really more like a glorified administrative assistant. I don't read it that way, but there are two ways to respond to the complaint, with the second one providing some important advice for public interest-minded environmental lawyers in today's job market."
1053,public (29),"A couple of people have written to me wondering why I posted the RGGI job. It isn't really a law or a policy position, they say: really more like a glorified administrative assistant. I don't read it that way, but there are two ways to respond to the complaint, with the second one providing some important advice for public interest-minded environmental lawyers in today's job market."
1054,posted (11),"A couple of people have written to me wondering why I posted the RGGI job. It isn't really a law or a policy position, they say: really more like a glorified administrative assistant. I don't read it that way, but there are two ways to respond to the complaint, with the second one providing some important advice for public interest-minded environmental lawyers in today's job market."
1055,RGGI (13),"A couple of people have written to me wondering why I posted the RGGI job. It isn't really a law or a policy position, they say: really more like a glorified administrative assistant. I don't read it that way, but there are two ways to respond to the complaint, with the second one providing some important advice for public interest-minded environmental lawyers in today's job market."
1056,lawyers (73),"A couple of people have written to me wondering why I posted the RGGI job. It isn't really a law or a policy position, they say: really more like a glorified administrative assistant. I don't read it that way, but there are two ways to respond to the complaint, with the second one providing some important advice for public interest-minded environmental lawyers in today's job market."
1057,glorified (19),"A couple of people have written to me wondering why I posted the RGGI job. It isn't really a law or a policy position, they say: really more like a glorified administrative assistant. I don't read it that way, but there are two ways to respond to the complaint, with the second one providing some important advice for public interest-minded environmental lawyers in today's job market."
1058,providing (24),"A couple of people have written to me wondering why I posted the RGGI job. It isn't really a law or a policy position, they say: really more like a glorified administrative assistant. I don't read it that way, but there are two ways to respond to the complaint, with the second one providing some important advice for public interest-minded environmental lawyers in today's job market."
1059,important (26),"A couple of people have written to me wondering why I posted the RGGI job. It isn't really a law or a policy position, they say: really more like a glorified administrative assistant. I don't read it that way, but there are two ways to respond to the complaint, with the second one providing some important advice for public interest-minded environmental lawyers in today's job market."
1060,attended (4),"A number of legislators attended Ed Murray, Jamie Pedersen, Joe McDermott, Scott White, Sam Hunt, Jim Moeller, Frank Chopp."
1061,number (1),"A number of legislators attended Ed Murray, Jamie Pedersen, Joe McDermott, Scott White, Sam Hunt, Jim Moeller, Frank Chopp."
1062,Moeller (22),"A number of legislators attended Ed Murray, Jamie Pedersen, Joe McDermott, Scott White, Sam Hunt, Jim Moeller, Frank Chopp."
1063,Chopp (25),"A number of legislators attended Ed Murray, Jamie Pedersen, Joe McDermott, Scott White, Sam Hunt, Jim Moeller, Frank Chopp."
1067,first (23),"Walker: Well, we're going to start in a couple weeks with our budget adjustment bill The first step is, we're going to deal with collective bargaining for all public employee unions, because you use divide and conquer. Subject: Debate Question for WalkerDate: Wed, 30 May 2012I have a question that I would like Governor Walker to answer."
1068,going (30),"Walker: Well, we're going to start in a couple weeks with our budget adjustment bill The first step is, we're going to deal with collective bargaining for all public employee unions, because you use divide and conquer. Subject: Debate Question for WalkerDate: Wed, 30 May 2012I have a question that I would like Governor Walker to answer."
1069,going (9),"Walker: Well, we're going to start in a couple weeks with our budget adjustment bill The first step is, we're going to deal with collective bargaining for all public employee unions, because you use divide and conquer. Subject: Debate Question for WalkerDate: Wed, 30 May 2012I have a question that I would like Governor Walker to answer."
1070,have (15),"Walker: Well, we're going to start in a couple weeks with our budget adjustment bill The first step is, we're going to deal with collective bargaining for all public employee unions, because you use divide and conquer. Subject: Debate Question for WalkerDate: Wed, 30 May 2012I have a question that I would like Governor Walker to answer."
1071,Walker (71),"Walker: Well, we're going to start in a couple weeks with our budget adjustment bill The first step is, we're going to deal with collective bargaining for all public employee unions, because you use divide and conquer. Subject: Debate Question for WalkerDate: Wed, 30 May 2012I have a question that I would like Governor Walker to answer."
1072,collective (34),"Walker: Well, we're going to start in a couple weeks with our budget adjustment bill The first step is, we're going to deal with collective bargaining for all public employee unions, because you use divide and conquer. Subject: Debate Question for WalkerDate: Wed, 30 May 2012I have a question that I would like Governor Walker to answer."
1075,answer (25),"Walker: Well, we're going to start in a couple weeks with our budget adjustment bill The first step is, we're going to deal with collective bargaining for all public employee unions, because you use divide and conquer. Subject: Debate Question for WalkerDate: Wed, 30 May 2012I have a question that I would like Governor Walker to answer."
1077,last (12),"After parents rejected a referendum that would have brought in additional funding last year for the school district, which faces an $8 million budget shortfall, its bus service for the 2012 to 2013 school year was outsourced to a company that charged parents a transportation fee of $47.50 per month for the first child and $40.50 for each additional child."
1078,rejected (2),"After parents rejected a referendum that would have brought in additional funding last year for the school district, which faces an $8 million budget shortfall, its bus service for the 2012 to 2013 school year was outsourced to a company that charged parents a transportation fee of $47.50 per month for the first child and $40.50 for each additional child."
1079,fee (45),"After parents rejected a referendum that would have brought in additional funding last year for the school district, which faces an $8 million budget shortfall, its bus service for the 2012 to 2013 school year was outsourced to a company that charged parents a transportation fee of $47.50 per month for the first child and $40.50 for each additional child."
1081,additional (10),"After parents rejected a referendum that would have brought in additional funding last year for the school district, which faces an $8 million budget shortfall, its bus service for the 2012 to 2013 school year was outsourced to a company that charged parents a transportation fee of $47.50 per month for the first child and $40.50 for each additional child."
1082,additional (58),"After parents rejected a referendum that would have brought in additional funding last year for the school district, which faces an $8 million budget shortfall, its bus service for the 2012 to 2013 school year was outsourced to a company that charged parents a transportation fee of $47.50 per month for the first child and $40.50 for each additional child."
1083,first (52),"After parents rejected a referendum that would have brought in additional funding last year for the school district, which faces an $8 million budget shortfall, its bus service for the 2012 to 2013 school year was outsourced to a company that charged parents a transportation fee of $47.50 per month for the first child and $40.50 for each additional child."
1084,year (13),"After parents rejected a referendum that would have brought in additional funding last year for the school district, which faces an $8 million budget shortfall, its bus service for the 2012 to 2013 school year was outsourced to a company that charged parents a transportation fee of $47.50 per month for the first child and $40.50 for each additional child."
1085,offering (25),"AID=/20080703/NEWS05/80703036By Niraj Warikoo¢ Free Press Staff Writer¢ July 3, 2008The top Christian leader for Palestinians is in metro Detroit this week, offering words of hope for Palestinians and criticizing Israeli occupation."
1086,leader (15),"AID=/20080703/NEWS05/80703036By Niraj Warikoo¢ Free Press Staff Writer¢ July 3, 2008The top Christian leader for Palestinians is in metro Detroit this week, offering words of hope for Palestinians and criticizing Israeli occupation."
1087,Israeli (33),"AID=/20080703/NEWS05/80703036By Niraj Warikoo¢ Free Press Staff Writer¢ July 3, 2008The top Christian leader for Palestinians is in metro Detroit this week, offering words of hope for Palestinians and criticizing Israeli occupation."
1088,top (13),"AID=/20080703/NEWS05/80703036By Niraj Warikoo¢ Free Press Staff Writer¢ July 3, 2008The top Christian leader for Palestinians is in metro Detroit this week, offering words of hope for Palestinians and criticizing Israeli occupation."
1089,words (26),"AID=/20080703/NEWS05/80703036By Niraj Warikoo¢ Free Press Staff Writer¢ July 3, 2008The top Christian leader for Palestinians is in metro Detroit this week, offering words of hope for Palestinians and criticizing Israeli occupation."
1090,is (18),"AID=/20080703/NEWS05/80703036By Niraj Warikoo¢ Free Press Staff Writer¢ July 3, 2008The top Christian leader for Palestinians is in metro Detroit this week, offering words of hope for Palestinians and criticizing Israeli occupation."
1092,electronic (9),A real central bank can create credit on its electronic keyboards just as easily as commercial banks can do.
1093,keyboards (10),A real central bank can create credit on its electronic keyboards just as easily as commercial banks can do.
1094,create (5),A real central bank can create credit on its electronic keyboards just as easily as commercial banks can do.
1095,do (18),A real central bank can create credit on its electronic keyboards just as easily as commercial banks can do.
1096,commercial (15),A real central bank can create credit on its electronic keyboards just as easily as commercial banks can do.
1097,real (1),A real central bank can create credit on its electronic keyboards just as easily as commercial banks can do.
1099,red (10),"A United States visa program for them is stalled in red tape, while the Iraqi government has no formal program to help."
1100,has (17),"A United States visa program for them is stalled in red tape, while the Iraqi government has no formal program to help."
1101,formal (19),"A United States visa program for them is stalled in red tape, while the Iraqi government has no formal program to help."
1102,program (20),"A United States visa program for them is stalled in red tape, while the Iraqi government has no formal program to help."
1104,learn (6),A hungry child can't learn well.
1105,child (2),A hungry child can't learn well.
1107,hungry (1),A hungry child can't learn well.
1108,goal (20),"A plan that fosters a symbiotic relationship between school and community goals is, I believe, a worthy DOE goal."
1109,symbiotic (5),"A plan that fosters a symbiotic relationship between school and community goals is, I believe, a worthy DOE goal."
1110,believe (15),"A plan that fosters a symbiotic relationship between school and community goals is, I believe, a worthy DOE goal."
1111,worthy (18),"A plan that fosters a symbiotic relationship between school and community goals is, I believe, a worthy DOE goal."
1112,relationship (6),"A plan that fosters a symbiotic relationship between school and community goals is, I believe, a worthy DOE goal."
1113,welcomed (2),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1114,explained (23),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1116,need (2),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1117,develop (28),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1118,available (30),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1119,solar (19),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1120,develop (15),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1121,much (5),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1122,develop (3),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1123,quick (1),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1124,source (31),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1125,American-made (33),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1126,Fix (15),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1127,explained (13),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1129,College (13),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1130,First (14),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1132,welcomed (2),"A quick look at what happened this week at WhiteHouse. gov: No Quick Fix: Speaking from Prince George's Community College in Largo, Maryland on Thursday, the President explained his all of the above strategy to develop every available source of American-made energy. We need an energy strategy for the future, the President explained. Yes, develop as much oil and gas as we can, but also develop wind power and solar power and biofuels. Lock-Solid Alliance: On Wednesday morning, President Obama together with the First Lady, the Vice President and Dr. Biden welcomed British Prime Minister David Cameron and Samantha Cameron to the White House during the Official Arrival Ceremony on the South Lawn."
1134,get (14),"A penny isn't much, but the daily blizzard of pennies will get Wall Street's greedy hands out of our pockets."
1137,greedy (19),"A penny isn't much, but the daily blizzard of pennies will get Wall Street's greedy hands out of our pockets."
1138,hands (20),"A penny isn't much, but the daily blizzard of pennies will get Wall Street's greedy hands out of our pockets."
1139,blizzard (10),"A penny isn't much, but the daily blizzard of pennies will get Wall Street's greedy hands out of our pockets."
1140,daily (9),"A penny isn't much, but the daily blizzard of pennies will get Wall Street's greedy hands out of our pockets."
1141,let (14),"After presenting an edited video of Hoffa referring to Republicans by saying, let's take these sons of bitches out, Fox News host Megyn Kelly gave Blakeman a chance to respond. I think it's thuggery at it's best, Blakeman replied. It's what unions are good at."
1142,presenting (1),"After presenting an edited video of Hoffa referring to Republicans by saying, let's take these sons of bitches out, Fox News host Megyn Kelly gave Blakeman a chance to respond. I think it's thuggery at it's best, Blakeman replied. It's what unions are good at."
1143,edited (3),"After presenting an edited video of Hoffa referring to Republicans by saying, let's take these sons of bitches out, Fox News host Megyn Kelly gave Blakeman a chance to respond. I think it's thuggery at it's best, Blakeman replied. It's what unions are good at."
1144,good (7),"After presenting an edited video of Hoffa referring to Republicans by saying, let's take these sons of bitches out, Fox News host Megyn Kelly gave Blakeman a chance to respond. I think it's thuggery at it's best, Blakeman replied. It's what unions are good at."
1145,take (17),"After presenting an edited video of Hoffa referring to Republicans by saying, let's take these sons of bitches out, Fox News host Megyn Kelly gave Blakeman a chance to respond. I think it's thuggery at it's best, Blakeman replied. It's what unions are good at."
1146,Blakeman (31),"After presenting an edited video of Hoffa referring to Republicans by saying, let's take these sons of bitches out, Fox News host Megyn Kelly gave Blakeman a chance to respond. I think it's thuggery at it's best, Blakeman replied. It's what unions are good at."
1147,gave (30),"After presenting an edited video of Hoffa referring to Republicans by saying, let's take these sons of bitches out, Fox News host Megyn Kelly gave Blakeman a chance to respond. I think it's thuggery at it's best, Blakeman replied. It's what unions are good at."
1148,sons (19),"After presenting an edited video of Hoffa referring to Republicans by saying, let's take these sons of bitches out, Fox News host Megyn Kelly gave Blakeman a chance to respond. I think it's thuggery at it's best, Blakeman replied. It's what unions are good at."
1149,video (4),"After presenting an edited video of Hoffa referring to Republicans by saying, let's take these sons of bitches out, Fox News host Megyn Kelly gave Blakeman a chance to respond. I think it's thuggery at it's best, Blakeman replied. It's what unions are good at."
1150,replied (15),"After presenting an edited video of Hoffa referring to Republicans by saying, let's take these sons of bitches out, Fox News host Megyn Kelly gave Blakeman a chance to respond. I think it's thuggery at it's best, Blakeman replied. It's what unions are good at."
1151,overtake (12),"A big moment for the Internet: The Internet is poised to overtake newspapers as the second-largest U.S. advertising medium by revenue behind television, according to PricewaterhouseCoopers Global Entertainment and Media Outlook for 2010 to 2014.The online ad business, excluding mobile ads, is set to expand to $34.4 billion in 2014 from $24.2 billion in 2009, according to the report, which PwC plans to release Tuesday."
1152,big (1),"A big moment for the Internet: The Internet is poised to overtake newspapers as the second-largest U.S. advertising medium by revenue behind television, according to PricewaterhouseCoopers Global Entertainment and Media Outlook for 2010 to 2014.The online ad business, excluding mobile ads, is set to expand to $34.4 billion in 2014 from $24.2 billion in 2009, according to the report, which PwC plans to release Tuesday."
1153,online (20),"A big moment for the Internet: The Internet is poised to overtake newspapers as the second-largest U.S. advertising medium by revenue behind television, according to PricewaterhouseCoopers Global Entertainment and Media Outlook for 2010 to 2014.The online ad business, excluding mobile ads, is set to expand to $34.4 billion in 2014 from $24.2 billion in 2009, according to the report, which PwC plans to release Tuesday."
1154,moment (2),"A big moment for the Internet: The Internet is poised to overtake newspapers as the second-largest U.S. advertising medium by revenue behind television, according to PricewaterhouseCoopers Global Entertainment and Media Outlook for 2010 to 2014.The online ad business, excluding mobile ads, is set to expand to $34.4 billion in 2014 from $24.2 billion in 2009, according to the report, which PwC plans to release Tuesday."
